ter,year,doxodn,r1v2,chlico,food_share,savings_rate,pol_female_pct,mest_urban_pct
79,2020,209871.8,39.11,3.32,42.77,24.9,55.84,52.3
79,2021,219730.51,38.56,3.34,42.11,23.44,55.41,51.85
79,2022,250795.99,39.32,3.4,45.79,22.14,56.16,50.41
79,2023,299083.3,40.13,3.25,43.43,19.99,56.87,51.15
80,2016,166943.82,36.28,3.12,39.7,20.21,55.85,63.22
80,2017,179902.14,35.71,3.19,38.94,20.75,55.95,62.92
80,2018,185513.85,36.21,3.22,37.2,21.01,55.49,62.57
80,2019,195771.49,36.02,3.26,36.37,20.75,55.89,61.79
80,2020,145891.73,36.72,3.28,39.33,22.45,56.28,62.11
80,2021,214675.45,36.6,3.3,37.42,19.75,56.03,61.9
80,2022,235036.87,36.8,3.29,39.61,21.04,56.02,61.88
80,2023,274773.22,37.77,3.22,38.98,21.01,57.05,62.73
81,2016,128567.21,36.64,3.38,42.66,21.0,56.3,63.32
81,2017,136139.62,37.81,3.34,40.01,21.64,55.97,62.68
81,2018,135445.63,37.65,3.31,40.23,20.54,56.52,60.75
81,2019,153524.49,38.26,3.27,38.78,22.47,55.85,59.91
81,2020,159744.19,38.78,3.25,40.61,21.2,56.26,61.38
81,2021,175087.81,39.32,3.27,39.49,22.78,55.83,60.78
81,2022,194365.96,39.46,3.23,41.43,23.39,55.47,60.56
81,2023,223297.47,41.07,3.15,41.67,23.27,56.04,61.38
82,2016,82958.85,38.07,4.04,62.27,4.03,51.81,37.55
82,2017,79345.42,34.22,4.08,61.25,5.24,51.73,37.03
82,2018,121200.56,36.52,4.0,63.71,6.09,51.25,36.66
82,2019,137911.51,36.94,3.99,62.45,7.97,50.31,36.74
82,2020,133030.86,37.64,3.99,62.97,9.03,50.39,37.28
82,2021,148075.25,37.45,3.99,62.14,7.55,50.22,36.11
82,2022,151430.72,36.94,3.99,62.89,7.86,50.86,37.75
82,2023,155606.87,36.53,4.06,60.73,8.64,50.35,35.06
83,2016,141933.86,38.51,3.92,40.08,19.44,53.16,57.02
83,2017,132248.53,37.4,3.93,43.2,17.54,54.11,56.42
83,2018,151152.58,40.04,3.84,44.81,16.26,54.88,56.5
83,2019,142253.65,40.29,4.03,44.73,15.26,53.68,58.0
83,2020,143354.72,40.93,3.97,45.32,14.4,54.55,57.88
83,2021,158579.14,41.21,3.92,44.51,13.44,54.29,57.22
83,2022,176031.82,41.01,3.86,44.39,12.15,54.83,57.4
83,2023,207062.51,42.4,3.82,46.81,12.96,55.17,57.33
84,2016,135478.68,34.38,3.54,37.59,23.85,55.12,21.41
84,2017,135660.23,35.28,3.62,35.38,22.38,53.08,20.42
84,2018,150710.95,36.2,3.59,34.37,22.83,53.23,21.03
84,2019,153736.64,36.87,3.59,34.48,22.49,54.17,21.48
84,2020,169056.86,38.28,3.48,35.0,23.32,54.88,20.81
84,2021,175937.2,38.3,3.45,35.77,20.09,56.05,19.27
84,2022,200165.14,38.53,3.34,35.64,21.75,55.9,19.23
84,2023,244151.3,39.49,3.22,33.26,25.32,55.87,21.36
85,2016,122981.17,35.97,3.54,41.61,17.3,55.05,41.9
85,2017,134024.41,36.45,3.48,39.21,17.1,56.06,42.02
85,2018,148595.72,37.48,3.47,38.72,17.65,55.36,41.97
85,2019,168578.21,38.16,3.38,40.59,21.71,55.58,41.45
85,2020,178644.04,39.65,3.3,45.22,22.16,54.84,41.03
85,2021,181192.53,40.46,3.24,44.89,18.61,55.07,41.16
85,2022,192351.44,41.19,3.2,49.26,14.59,55.28,40.12
85,2023,218651.21,42.47,3.15,48.95,13.22,55.69,40.02
90,2016,134636.85,40.15,3.78,44.42,18.39,56.66,67.25
90,2017,133403.79,38.64,3.68,45.32,18.77,55.66,66.71
90,2018,151294.08,40.51,3.53,44.26,15.87,57.1,68.33
90,2019,162542.36,41.27,3.55,44.39,16.56,56.86,65.94
90,2020,171661.08,42.41,3.43,46.8,18.47,57.05,66.25
90,2021,187289.29,42.66,3.36,45.65,18.33,57.71,65.58
90,2022,204176.84,42.81,3.35,46.63,18.31,57.94,65.24
90,2023,218643.68,43.68,3.29,46.51,17.63,58.33,65.83
91,2016,120397.84,36.82,4.18,42.23,16.45,55.28,40.28
91,2017,124075.56,36.91,4.28,38.77,15.74,55.87,41.98
91,2018,134187.29,37.81,4.24,38.56,15.01,56.29,41.9
91,2019,151297.07,38.75,4.05,36.16,18.67,55.2,40.92
91,2020,173490.72,39.77,3.98,36.11,21.6,55.03,39.77
91,2021,199638.66,40.49,3.87,34.5,17.81,55.0,40.2
91,2022,210938.59,39.51,3.95,35.05,14.94,54.14,42.82
91,2023,233877.79,40.71,3.94,34.75,16.36,53.9,41.91
92,2016,154102.87,40.93,3.18,37.75,21.21,55.19,73.65
92,2017,164533.13,40.64,3.19,35.85,20.99,55.45,72.26
92,2018,171166.11,41.37,3.17,35.52,20.05,55.49,72.19
92,2019,181043.89,41.51,3.21,34.52,21.58,55.56,72.36
92,2020,185630.12,42.38,3.14,36.29,22.06,55.64,72.58
92,2021,208215.97,42.34,3.12,34.88,22.5,55.12,73.17
92,2022,230878.8,42.23,3.11,36.99,21.29,55.19,73.24
92,2023,255450.27,43.18,3.01,37.47,21.53,55.7,72.94
93,2016,111182.63,28.31,4.03,41.72,17.79,55.15,43.18
93,2017,118619.43,28.41,3.87,39.24,20.38,54.91,44.32
93,2018,132833.05,27.35,4.15,37.56,20.81,54.33,39.67
93,2019,146458.98,27.47,4.26,33.68,21.82,55.9,39.83
93,2020,160564.17,28.3,4.24,32.8,22.54,54.45,41.69
93,2021,176876.05,27.96,4.25,30.62,21.1,54.51,43.16
93,2022,202994.83,28.35,4.18,33.23,21.84,53.92,43.03
93,2023,245798.7,28.39,4.15,32.6,20.05,53.69,42.34
96,2016,86096.88,30.6,4.8,53.11,0.91,50.82,40.06
96,2017,77087.19,29.34,4.87,51.67,1.47,50.99,43.05
96,2018,92322.92,32.1,4.74,52.8,0.93,50.05,44.82
96,2019,96349.89,32.26,4.96,51.49,1.74,49.87,45.76
96,2020,119603.07,33.01,5.01,52.76,12.42,49.89,45.8
96,2021,135283.6,33.82,5.07,49.79,13.9,50.21,45.1
96,2022,158418.4,33.81,5.04,53.39,13.32,49.73,45.06
96,2023,187471.46,34.43,5.06,54.16,18.5,50.29,44.09
99,2016,171627.87,34.39,3.26,37.68,18.1,54.77,67.77
99,2017,204749.43,35.29,3.13,36.48,18.88,55.88,68.94
99,2018,221097.05,35.99,3.04,33.71,21.38,56.26,72.1
99,2019,250793.67,36.2,2.97,32.99,23.03,57.64,72.13
99,2020,239216.19,36.18,3.05,34.69,18.87,57.46,71.74
99,2021,270860.09,36.3,3.0,34.15,20.16,57.28,71.52
99,2022,267335.99,37.02,2.93,35.06,20.38,58.16,74.93
99,2023,337969.43,36.17,3.04,32.67,18.87,56.32,70.44
